,0,1,2,3,4,5
102,0,2014,JEEP,GRAND CHEROKEE LIMITED,"$32,992 ","32,281 miles"
103,0,2015,VOLVO,XC60 T5 PREMIER,"$32,992 ","31,131 miles"
104,1,2014,HONDA,CR-V,"$26,991 ","43,531 miles"
105,0,2014,NISSAN,MURANO,"$26,991 ","28,561 miles"
106,0,2013,LEXUS,GX,"$22,995 ","40,788 miles"
107,0,2011,LEXUS,RX 350,"$19,880 ","61,180 miles"
108,0,2017,JEEP,CHEROKEE,"$19,880 ","20,383 miles"
109,1,2015,LEXUS,GX 460,"$20,891 ","49,709 miles"
110,0,2012,JEEP,GRAND CHEROKEE,"$33,698 ","81,575 miles"
111,0,2011,CHEVROLET,SUBURBAN 1500,"$33,698 ","92,920 miles"
112,0,2014,NISSAN,PATHFINDER,"$32,992 ","68,595 miles"
113,0,2010,NISSAN,XTERRA,"$13,980 ","107,729 miles"
114,0,2015,JEEP,CHEROKEE,"$13,980 ","29,259 miles"
115,0,2014,TOYOTA,HIGHLANDER,"$21,492 ","65,165 miles"
116,1,2016,LEXUS,GX,"$21,492 ","19,502 miles"
117,0,2014,NISSAN,ROGUE,"$26,992 ","32,693 miles"
119,1,2014,LEXUS,GX,"$46,095 ","34,926 miles"
121,1,2015,BMW,X5,"$14,995 ","49,315 miles"
123,0,2014,BMW,X5,"$32,470 ","37,291 miles"
124,0,2017,DODGE,JOURNEY,"$19,485 ","13,065 miles"
125,0,2015,FORD,EXPLORER LIMITED,"$19,485 ","41,906 miles"
126,0,2011,HONDA,CR-V,"$37,595 ","28,424 miles"
127,0,2017,BMW,X1,"$37,988 ","4,624 miles"
128,1,2013,HONDA,CR-V,"$37,988 ","38,384 miles"
129,0,2012,MERCEDES-BENZ,M-CLASS ML 350,"$19,995 ","62,871 miles"
130,0,2014,HONDA,CR-V,"$26,895 ","41,240 miles"
132,0,2014,MERCEDES-BENZ,M-CLASS ML 350,"$24,995 ","57,715 miles"
133,1,2014,HONDA,CR-V,"$24,995 ","34,010 miles"
134,0,2016,TOYOTA,4RUNNER,"$18,480 ","35,746 miles"
