,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
2388,2388,2388,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2389,2389,2389,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2390,2390,2390,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2391,2391,2391,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2392,2392,2392,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2393,2393,2393,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2394,2394,2394,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2395,2395,2395,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2396,2396,2396,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2397,2397,2397,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2398,2398,2398,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2399,2399,2399,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2400,2400,2400,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2401,2401,2401,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2402,2402,2402,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2403,2403,2403,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2404,2404,2404,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2405,2405,2405,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2406,2406,2406,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2407,2407,2407,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2408,2408,2408,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2409,2409,2409,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2410,2410,2410,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2411,2411,2411,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2412,2412,2412,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2413,2413,2413,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2414,2414,2414,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2415,2415,2415,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2416,2416,2416,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2417,2417,2417,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2418,2418,2418,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2419,2419,2419,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2420,2420,2420,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2421,2421,2421,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2422,2422,2422,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2423,2423,2423,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2424,2424,2424,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2425,2425,2425,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2426,2426,2426,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2427,2427,2427,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2428,2428,2428,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2429,2429,2429,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2430,2430,2430,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2431,2431,2431,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2432,2432,2432,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2433,2433,2433,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2434,2434,2434,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2435,2435,2435,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2436,2436,2436,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2437,2437,2437,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2438,2438,2438,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2439,2439,2439,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2440,2440,2440,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2441,2441,2441,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2442,2442,2442,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2443,2443,2443,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2444,2444,2444,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2445,2445,2445,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2446,2446,2446,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2447,2447,2447,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2448,2448,2448,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2449,2449,2449,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2450,2450,2450,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2451,2451,2451,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2452,2452,2452,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2453,2453,2453,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2454,2454,2454,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2455,2455,2455,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2456,2456,2456,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2457,2457,2457,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2458,2458,2458,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2459,2459,2459,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2460,2460,2460,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2461,2461,2461,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2462,2462,2462,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2463,2463,2463,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2464,2464,2464,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2465,2465,2465,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2466,2466,2466,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2467,2467,2467,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2468,2468,2468,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2469,2469,2469,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2470,2470,2470,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2471,2471,2471,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2472,2472,2472,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2473,2473,2473,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2474,2474,2474,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2475,2475,2475,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2476,2476,2476,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2477,2477,2477,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2478,2478,2478,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2479,2479,2479,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2480,2480,2480,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2481,2481,2481,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2482,2482,2482,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2483,2483,2483,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2484,2484,2484,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2485,2485,2485,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
