,year,brand,model,mileage,D_rate,PC
19525,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19526,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19527,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19528,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19529,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19530,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19531,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19532,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19533,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19534,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19535,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19536,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19537,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19538,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19539,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19540,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19541,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19542,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19543,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19544,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19545,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19546,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19547,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19548,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19549,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19550,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19551,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19552,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19553,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19554,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19555,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19556,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19557,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19558,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19559,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19560,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19561,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19562,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19563,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19564,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19565,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19566,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19567,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19568,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19569,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19570,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19571,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19572,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19573,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19574,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19575,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19576,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19577,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19578,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19579,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19580,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19581,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19582,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19583,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19584,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19585,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19586,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19587,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19588,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19589,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19590,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19591,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19592,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19593,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19594,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19595,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19596,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19597,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19598,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19599,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19600,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19601,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19602,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19603,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19604,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19605,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19606,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19607,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19608,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19609,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19610,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19611,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19612,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19613,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19614,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19615,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19616,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19617,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19618,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19619,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19620,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19621,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19622,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19623,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19624,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19625,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19626,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19627,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19628,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19629,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19630,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19631,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19632,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19633,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19634,2012,MERCEDES-BENZ,GL-CLASS GL 450,59422,3,1
19635,2013,MERCEDES-BENZ,M-CLASS ML 350,101069,4,1
19636,2017,MERCEDES-BENZ,GLS 450,5552,2,1
19637,2011,MERCEDES-BENZ,GLK 350,95270,6,1
19638,2014,MERCEDES-BENZ,GLK 350,66234,1,1
19639,2015,MERCEDES-BENZ,M-CLASS ML 350,46482,9,1
19640,2012,MERCEDES-BENZ,GL-CLASS GL 450,109229,1,1
19641,2017,MERCEDES-BENZ,GLE 350,6489,1,1
19642,2015,MERCEDES-BENZ,M-CLASS ML 350,56543,3,1
19643,2012,MERCEDES-BENZ,GL-CLASS GL 450,77417,3,1
19644,2014,MERCEDES-BENZ,GL-CLASS GL 450,78893,3,1
19645,2014,MERCEDES-BENZ,GL-CLASS GL 450,67443,3,1
19646,2015,MERCEDES-BENZ,M-CLASS ML 250,69912,2,1
19647,2012,MERCEDES-BENZ,GL-CLASS GL 450,85682,2,1
19648,2007,MERCEDES-BENZ,GL-CLASS GL 450,152754,9,1
19649,2015,BMW,X5,32440,6,19
19650,2018,BMW,X4,8782,8,19
19651,2017,BMW,X5,4239,6,19
19652,2016,BMW,X5,15292,6,19
19653,2014,BMW,X5,38034,7,19
19654,2017,BMW,X6,6552,8,19
19655,2017,BMW,X3,6090,6,19
19656,2015,BMW,X5,28765,7,19
19657,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19658,2013,BMW,X6,36624,6,19
19659,2017,BMW,X1,10789,2,19
19660,2015,BMW,X5,34835,7,19
19661,2011,BMW,X6,89666,4,19
19662,2015,BMW,X5,37215,4,19
19663,2008,BMW,X5,115677,7,19
19664,2015,BMW,X5,32440,6,19
19665,2018,BMW,X4,8782,8,19
19666,2017,BMW,X5,4239,6,19
19667,2016,BMW,X5,15292,6,19
19668,2014,BMW,X5,38034,7,19
19669,2017,BMW,X6,6552,8,19
19670,2017,BMW,X3,6090,6,19
19671,2015,BMW,X5,28765,7,19
19672,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19673,2013,BMW,X6,36624,6,19
19674,2017,BMW,X1,10789,2,19
19675,2015,BMW,X5,34835,7,19
19676,2011,BMW,X6,89666,4,19
19677,2015,BMW,X5,37215,4,19
19678,2008,BMW,X5,115677,7,19
19679,2015,BMW,X5,32440,6,19
19680,2018,BMW,X4,8782,8,19
19681,2017,BMW,X5,4239,6,19
19682,2016,BMW,X5,15292,6,19
19683,2014,BMW,X5,38034,7,19
19684,2017,BMW,X6,6552,8,19
19685,2017,BMW,X3,6090,6,19
19686,2015,BMW,X5,28765,7,19
19687,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19688,2013,BMW,X6,36624,6,19
19689,2017,BMW,X1,10789,2,19
19690,2015,BMW,X5,34835,7,19
19691,2011,BMW,X6,89666,4,19
19692,2015,BMW,X5,37215,4,19
19693,2008,BMW,X5,115677,7,19
19694,2015,BMW,X5,32440,6,19
19695,2018,BMW,X4,8782,8,19
19696,2017,BMW,X5,4239,6,19
19697,2016,BMW,X5,15292,6,19
19698,2014,BMW,X5,38034,7,19
19699,2017,BMW,X6,6552,8,19
19700,2017,BMW,X3,6090,6,19
19701,2015,BMW,X5,28765,7,19
19702,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19703,2013,BMW,X6,36624,6,19
19704,2017,BMW,X1,10789,2,19
19705,2015,BMW,X5,34835,7,19
19706,2011,BMW,X6,89666,4,19
19707,2015,BMW,X5,37215,4,19
19708,2008,BMW,X5,115677,7,19
19709,2015,BMW,X5,32440,6,19
19710,2018,BMW,X4,8782,8,19
19711,2017,BMW,X5,4239,6,19
19712,2016,BMW,X5,15292,6,19
19713,2014,BMW,X5,38034,7,19
19714,2017,BMW,X6,6552,8,19
19715,2017,BMW,X3,6090,6,19
19716,2015,BMW,X5,28765,7,19
19717,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19718,2013,BMW,X6,36624,6,19
19719,2017,BMW,X1,10789,2,19
19720,2015,BMW,X5,34835,7,19
19721,2011,BMW,X6,89666,4,19
19722,2015,BMW,X5,37215,4,19
19723,2008,BMW,X5,115677,7,19
19724,2015,BMW,X5,32440,6,19
19725,2018,BMW,X4,8782,8,19
19726,2017,BMW,X5,4239,6,19
19727,2016,BMW,X5,15292,6,19
19728,2014,BMW,X5,38034,7,19
19729,2017,BMW,X6,6552,8,19
19730,2017,BMW,X3,6090,6,19
19731,2015,BMW,X5,28765,7,19
19732,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19733,2013,BMW,X6,36624,6,19
19734,2017,BMW,X1,10789,2,19
19735,2015,BMW,X5,34835,7,19
19736,2011,BMW,X6,89666,4,19
19737,2015,BMW,X5,37215,4,19
19738,2008,BMW,X5,115677,7,19
19739,2015,BMW,X5,32440,6,19
19740,2018,BMW,X4,8782,8,19
19741,2017,BMW,X5,4239,6,19
19742,2016,BMW,X5,15292,6,19
19743,2014,BMW,X5,38034,7,19
19744,2017,BMW,X6,6552,8,19
19745,2017,BMW,X3,6090,6,19
19746,2015,BMW,X5,28765,7,19
19747,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19748,2013,BMW,X6,36624,6,19
19749,2017,BMW,X1,10789,2,19
19750,2015,BMW,X5,34835,7,19
19751,2011,BMW,X6,89666,4,19
19752,2015,BMW,X5,37215,4,19
19753,2008,BMW,X5,115677,7,19
19754,2015,BMW,X5,32440,6,19
19755,2018,BMW,X4,8782,8,19
19756,2017,BMW,X5,4239,6,19
19757,2016,BMW,X5,15292,6,19
19758,2014,BMW,X5,38034,7,19
19759,2017,BMW,X6,6552,8,19
19760,2017,BMW,X3,6090,6,19
19761,2015,BMW,X5,28765,7,19
19762,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19763,2013,BMW,X6,36624,6,19
19764,2017,BMW,X1,10789,2,19
19765,2015,BMW,X5,34835,7,19
19766,2011,BMW,X6,89666,4,19
19767,2015,BMW,X5,37215,4,19
19768,2008,BMW,X5,115677,7,19
19769,2015,BMW,X5,32440,6,19
19770,2018,BMW,X4,8782,8,19
19771,2017,BMW,X5,4239,6,19
19772,2016,BMW,X5,15292,6,19
19773,2014,BMW,X5,38034,7,19
19774,2017,BMW,X6,6552,8,19
19775,2017,BMW,X3,6090,6,19
19776,2015,BMW,X5,28765,7,19
19777,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19778,2013,BMW,X6,36624,6,19
19779,2017,BMW,X1,10789,2,19
19780,2015,BMW,X5,34835,7,19
19781,2011,BMW,X6,89666,4,19
19782,2015,BMW,X5,37215,4,19
19783,2008,BMW,X5,115677,7,19
19784,2015,BMW,X5,32440,6,19
19785,2018,BMW,X4,8782,8,19
19786,2017,BMW,X5,4239,6,19
19787,2016,BMW,X5,15292,6,19
19788,2014,BMW,X5,38034,7,19
19789,2017,BMW,X6,6552,8,19
19790,2017,BMW,X3,6090,6,19
19791,2015,BMW,X5,28765,7,19
19792,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19793,2013,BMW,X6,36624,6,19
19794,2017,BMW,X1,10789,2,19
19795,2015,BMW,X5,34835,7,19
19796,2011,BMW,X6,89666,4,19
19797,2015,BMW,X5,37215,4,19
19798,2008,BMW,X5,115677,7,19
19799,2015,BMW,X5,32440,6,19
19800,2018,BMW,X4,8782,8,19
19801,2017,BMW,X5,4239,6,19
19802,2016,BMW,X5,15292,6,19
19803,2014,BMW,X5,38034,7,19
19804,2017,BMW,X6,6552,8,19
19805,2017,BMW,X3,6090,6,19
19806,2015,BMW,X5,28765,7,19
19807,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19808,2013,BMW,X6,36624,6,19
19809,2017,BMW,X1,10789,2,19
19810,2015,BMW,X5,34835,7,19
19811,2011,BMW,X6,89666,4,19
19812,2015,BMW,X5,37215,4,19
19813,2008,BMW,X5,115677,7,19
19814,2015,BMW,X5,32440,6,19
19815,2018,BMW,X4,8782,8,19
19816,2017,BMW,X5,4239,6,19
19817,2016,BMW,X5,15292,6,19
19818,2014,BMW,X5,38034,7,19
19819,2017,BMW,X6,6552,8,19
19820,2017,BMW,X3,6090,6,19
19821,2015,BMW,X5,28765,7,19
19822,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19823,2013,BMW,X6,36624,6,19
19824,2017,BMW,X1,10789,2,19
19825,2015,BMW,X5,34835,7,19
19826,2011,BMW,X6,89666,4,19
19827,2015,BMW,X5,37215,4,19
19828,2008,BMW,X5,115677,7,19
19829,2015,BMW,X5,32440,6,19
19830,2018,BMW,X4,8782,8,19
19831,2017,BMW,X5,4239,6,19
19832,2016,BMW,X5,15292,6,19
19833,2014,BMW,X5,38034,7,19
19834,2017,BMW,X6,6552,8,19
19835,2017,BMW,X3,6090,6,19
19836,2015,BMW,X5,28765,7,19
19837,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19838,2013,BMW,X6,36624,6,19
19839,2017,BMW,X1,10789,2,19
19840,2015,BMW,X5,34835,7,19
19841,2011,BMW,X6,89666,4,19
19842,2015,BMW,X5,37215,4,19
19843,2008,BMW,X5,115677,7,19
19844,2015,BMW,X5,32440,6,19
19845,2018,BMW,X4,8782,8,19
19846,2017,BMW,X5,4239,6,19
19847,2016,BMW,X5,15292,6,19
19848,2014,BMW,X5,38034,7,19
19849,2017,BMW,X6,6552,8,19
19850,2017,BMW,X3,6090,6,19
19851,2015,BMW,X5,28765,7,19
19852,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19853,2013,BMW,X6,36624,6,19
19854,2017,BMW,X1,10789,2,19
19855,2015,BMW,X5,34835,7,19
19856,2011,BMW,X6,89666,4,19
19857,2015,BMW,X5,37215,4,19
19858,2008,BMW,X5,115677,7,19
19859,2015,BMW,X5,32440,6,19
19860,2018,BMW,X4,8782,8,19
19861,2017,BMW,X5,4239,6,19
19862,2016,BMW,X5,15292,6,19
19863,2014,BMW,X5,38034,7,19
19864,2017,BMW,X6,6552,8,19
19865,2017,BMW,X3,6090,6,19
19866,2015,BMW,X5,28765,7,19
19867,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19868,2013,BMW,X6,36624,6,19
19869,2017,BMW,X1,10789,2,19
19870,2015,BMW,X5,34835,7,19
19871,2011,BMW,X6,89666,4,19
19872,2015,BMW,X5,37215,4,19
19873,2008,BMW,X5,115677,7,19
19874,2015,BMW,X5,32440,6,19
19875,2018,BMW,X4,8782,8,19
19876,2017,BMW,X5,4239,6,19
19877,2016,BMW,X5,15292,6,19
19878,2014,BMW,X5,38034,7,19
19879,2017,BMW,X6,6552,8,19
19880,2017,BMW,X3,6090,6,19
19881,2015,BMW,X5,28765,7,19
19882,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19883,2013,BMW,X6,36624,6,19
19884,2017,BMW,X1,10789,2,19
19885,2015,BMW,X5,34835,7,19
19886,2011,BMW,X6,89666,4,19
19887,2015,BMW,X5,37215,4,19
19888,2008,BMW,X5,115677,7,19
19889,2015,BMW,X5,32440,6,19
19890,2018,BMW,X4,8782,8,19
19891,2017,BMW,X5,4239,6,19
19892,2016,BMW,X5,15292,6,19
19893,2014,BMW,X5,38034,7,19
19894,2017,BMW,X6,6552,8,19
19895,2017,BMW,X3,6090,6,19
19896,2015,BMW,X5,28765,7,19
19897,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19898,2013,BMW,X6,36624,6,19
19899,2017,BMW,X1,10789,2,19
19900,2015,BMW,X5,34835,7,19
19901,2011,BMW,X6,89666,4,19
19902,2015,BMW,X5,37215,4,19
19903,2008,BMW,X5,115677,7,19
19904,2015,BMW,X5,32440,6,19
19905,2018,BMW,X4,8782,8,19
19906,2017,BMW,X5,4239,6,19
19907,2016,BMW,X5,15292,6,19
19908,2014,BMW,X5,38034,7,19
19909,2017,BMW,X6,6552,8,19
19910,2017,BMW,X3,6090,6,19
19911,2015,BMW,X5,28765,7,19
19912,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19913,2013,BMW,X6,36624,6,19
19914,2017,BMW,X1,10789,2,19
19915,2015,BMW,X5,34835,7,19
19916,2011,BMW,X6,89666,4,19
19917,2015,BMW,X5,37215,4,19
19918,2008,BMW,X5,115677,7,19
19919,2015,BMW,X5,32440,6,19
19920,2018,BMW,X4,8782,8,19
19921,2017,BMW,X5,4239,6,19
19922,2016,BMW,X5,15292,6,19
19923,2014,BMW,X5,38034,7,19
19924,2017,BMW,X6,6552,8,19
19925,2017,BMW,X3,6090,6,19
19926,2015,BMW,X5,28765,7,19
19927,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19928,2013,BMW,X6,36624,6,19
19929,2017,BMW,X1,10789,2,19
19930,2015,BMW,X5,34835,7,19
19931,2011,BMW,X6,89666,4,19
19932,2015,BMW,X5,37215,4,19
19933,2008,BMW,X5,115677,7,19
19934,2015,BMW,X5,32440,6,19
19935,2018,BMW,X4,8782,8,19
19936,2017,BMW,X5,4239,6,19
19937,2016,BMW,X5,15292,6,19
19938,2014,BMW,X5,38034,7,19
19939,2017,BMW,X6,6552,8,19
19940,2017,BMW,X3,6090,6,19
19941,2015,BMW,X5,28765,7,19
19942,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19943,2013,BMW,X6,36624,6,19
19944,2017,BMW,X1,10789,2,19
19945,2015,BMW,X5,34835,7,19
19946,2011,BMW,X6,89666,4,19
19947,2015,BMW,X5,37215,4,19
19948,2008,BMW,X5,115677,7,19
19949,2015,BMW,X5,32440,6,19
19950,2018,BMW,X4,8782,8,19
19951,2017,BMW,X5,4239,6,19
19952,2016,BMW,X5,15292,6,19
19953,2014,BMW,X5,38034,7,19
19954,2017,BMW,X6,6552,8,19
19955,2017,BMW,X3,6090,6,19
19956,2015,BMW,X5,28765,7,19
19957,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19958,2013,BMW,X6,36624,6,19
19959,2017,BMW,X1,10789,2,19
19960,2015,BMW,X5,34835,7,19
19961,2011,BMW,X6,89666,4,19
19962,2015,BMW,X5,37215,4,19
19963,2008,BMW,X5,115677,7,19
19964,2015,BMW,X5,32440,6,19
19965,2018,BMW,X4,8782,8,19
19966,2017,BMW,X5,4239,6,19
19967,2016,BMW,X5,15292,6,19
19968,2014,BMW,X5,38034,7,19
19969,2017,BMW,X6,6552,8,19
19970,2017,BMW,X3,6090,6,19
19971,2015,BMW,X5,28765,7,19
19972,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19973,2013,BMW,X6,36624,6,19
19974,2017,BMW,X1,10789,2,19
19975,2015,BMW,X5,34835,7,19
19976,2011,BMW,X6,89666,4,19
19977,2015,BMW,X5,37215,4,19
19978,2008,BMW,X5,115677,7,19
19979,2015,BMW,X5,32440,6,19
19980,2018,BMW,X4,8782,8,19
19981,2017,BMW,X5,4239,6,19
19982,2016,BMW,X5,15292,6,19
19983,2014,BMW,X5,38034,7,19
19984,2017,BMW,X6,6552,8,19
19985,2017,BMW,X3,6090,6,19
19986,2015,BMW,X5,28765,7,19
19987,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
19988,2013,BMW,X6,36624,6,19
19989,2017,BMW,X1,10789,2,19
19990,2015,BMW,X5,34835,7,19
19991,2011,BMW,X6,89666,4,19
19992,2015,BMW,X5,37215,4,19
19993,2008,BMW,X5,115677,7,19
19994,2015,BMW,X5,32440,6,19
19995,2018,BMW,X4,8782,8,19
19996,2017,BMW,X5,4239,6,19
19997,2016,BMW,X5,15292,6,19
19998,2014,BMW,X5,38034,7,19
19999,2017,BMW,X6,6552,8,19
20000,2017,BMW,X3,6090,6,19
20001,2015,BMW,X5,28765,7,19
20002,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20003,2013,BMW,X6,36624,6,19
20004,2017,BMW,X1,10789,2,19
20005,2015,BMW,X5,34835,7,19
20006,2011,BMW,X6,89666,4,19
20007,2015,BMW,X5,37215,4,19
20008,2008,BMW,X5,115677,7,19
20009,2015,BMW,X5,32440,6,19
20010,2018,BMW,X4,8782,8,19
20011,2017,BMW,X5,4239,6,19
20012,2016,BMW,X5,15292,6,19
20013,2014,BMW,X5,38034,7,19
20014,2017,BMW,X6,6552,8,19
20015,2017,BMW,X3,6090,6,19
20016,2015,BMW,X5,28765,7,19
20017,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20018,2013,BMW,X6,36624,6,19
20019,2017,BMW,X1,10789,2,19
20020,2015,BMW,X5,34835,7,19
20021,2011,BMW,X6,89666,4,19
20022,2015,BMW,X5,37215,4,19
20023,2008,BMW,X5,115677,7,19
20024,2015,BMW,X5,32440,6,19
20025,2018,BMW,X4,8782,8,19
20026,2017,BMW,X5,4239,6,19
20027,2016,BMW,X5,15292,6,19
20028,2014,BMW,X5,38034,7,19
20029,2017,BMW,X6,6552,8,19
20030,2017,BMW,X3,6090,6,19
20031,2015,BMW,X5,28765,7,19
20032,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20033,2013,BMW,X6,36624,6,19
20034,2017,BMW,X1,10789,2,19
20035,2015,BMW,X5,34835,7,19
20036,2011,BMW,X6,89666,4,19
20037,2015,BMW,X5,37215,4,19
20038,2008,BMW,X5,115677,7,19
20039,2015,BMW,X5,32440,6,19
20040,2018,BMW,X4,8782,8,19
20041,2017,BMW,X5,4239,6,19
20042,2016,BMW,X5,15292,6,19
20043,2014,BMW,X5,38034,7,19
20044,2017,BMW,X6,6552,8,19
20045,2017,BMW,X3,6090,6,19
20046,2015,BMW,X5,28765,7,19
20047,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20048,2013,BMW,X6,36624,6,19
20049,2017,BMW,X1,10789,2,19
20050,2015,BMW,X5,34835,7,19
20051,2011,BMW,X6,89666,4,19
20052,2015,BMW,X5,37215,4,19
20053,2008,BMW,X5,115677,7,19
20054,2015,BMW,X5,32440,6,19
20055,2018,BMW,X4,8782,8,19
20056,2017,BMW,X5,4239,6,19
20057,2016,BMW,X5,15292,6,19
20058,2014,BMW,X5,38034,7,19
20059,2017,BMW,X6,6552,8,19
20060,2017,BMW,X3,6090,6,19
20061,2015,BMW,X5,28765,7,19
20062,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20063,2013,BMW,X6,36624,6,19
20064,2017,BMW,X1,10789,2,19
20065,2015,BMW,X5,34835,7,19
20066,2011,BMW,X6,89666,4,19
20067,2015,BMW,X5,37215,4,19
20068,2008,BMW,X5,115677,7,19
20069,2015,BMW,X5,32440,6,19
20070,2018,BMW,X4,8782,8,19
20071,2017,BMW,X5,4239,6,19
20072,2016,BMW,X5,15292,6,19
20073,2014,BMW,X5,38034,7,19
20074,2017,BMW,X6,6552,8,19
20075,2017,BMW,X3,6090,6,19
20076,2015,BMW,X5,28765,7,19
20077,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20078,2013,BMW,X6,36624,6,19
20079,2017,BMW,X1,10789,2,19
20080,2015,BMW,X5,34835,7,19
20081,2011,BMW,X6,89666,4,19
20082,2015,BMW,X5,37215,4,19
20083,2008,BMW,X5,115677,7,19
20084,2015,BMW,X5,32440,6,19
20085,2018,BMW,X4,8782,8,19
20086,2017,BMW,X5,4239,6,19
20087,2016,BMW,X5,15292,6,19
20088,2014,BMW,X5,38034,7,19
20089,2017,BMW,X6,6552,8,19
20090,2017,BMW,X3,6090,6,19
20091,2015,BMW,X5,28765,7,19
20092,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20093,2013,BMW,X6,36624,6,19
20094,2017,BMW,X1,10789,2,19
20095,2015,BMW,X5,34835,7,19
20096,2011,BMW,X6,89666,4,19
20097,2015,BMW,X5,37215,4,19
20098,2008,BMW,X5,115677,7,19
20099,2015,BMW,X5,32440,6,19
20100,2018,BMW,X4,8782,8,19
20101,2017,BMW,X5,4239,6,19
20102,2016,BMW,X5,15292,6,19
20103,2014,BMW,X5,38034,7,19
20104,2017,BMW,X6,6552,8,19
20105,2017,BMW,X3,6090,6,19
20106,2015,BMW,X5,28765,7,19
20107,2012,BMW,X5 XDRIVE35I SPORT,87206,7,19
20108,2013,BMW,X6,36624,6,19
