,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
67,67,67,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
68,68,68,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
69,69,69,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
70,70,70,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
71,71,71,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
72,72,72,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
73,73,73,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
74,74,74,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
75,75,75,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
76,76,76,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
77,77,77,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
78,78,78,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
79,79,79,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
80,80,80,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
81,81,81,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
82,82,82,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
83,83,83,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
84,84,84,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
85,85,85,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
86,86,86,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
87,87,87,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
88,88,88,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
89,89,89,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
90,90,90,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
91,91,91,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
92,92,92,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
93,93,93,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
94,94,94,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
95,95,95,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
96,96,96,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
97,97,97,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
98,98,98,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
99,99,99,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
100,100,100,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
101,101,101,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
102,102,102,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
103,103,103,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
104,104,104,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
105,105,105,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
106,106,106,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
107,107,107,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
