,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,UC,year,brand,model,price,mileage,Oprice,D_rate
576,576,576,576,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
577,577,577,577,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
578,578,578,578,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
579,579,579,579,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
580,580,580,580,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
581,581,581,581,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
582,582,582,582,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
583,583,583,583,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
584,584,584,584,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
585,585,585,585,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
586,586,586,586,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
587,587,587,587,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
588,588,588,588,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
589,589,589,589,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
590,590,590,590,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
591,591,591,591,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
592,592,592,592,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
593,593,593,593,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
594,594,594,594,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
595,595,595,595,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
596,596,596,596,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
597,597,597,597,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
598,598,598,598,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
599,599,599,599,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
600,600,600,600,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
