,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
564,564,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
565,565,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
566,566,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
567,567,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
568,568,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
569,569,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
570,570,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
571,571,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
572,572,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
573,573,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
574,574,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
575,575,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
576,576,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
577,577,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
578,578,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
579,579,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
580,580,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
581,581,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
582,582,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
583,583,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
584,584,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
585,585,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
586,586,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
587,587,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
588,588,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
589,589,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
590,590,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
591,591,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
592,592,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
593,593,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
594,594,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
595,595,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
596,596,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
597,597,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
598,598,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
599,599,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
600,600,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
601,601,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
602,602,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
603,603,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
604,604,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
605,605,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
606,606,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
607,607,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
608,608,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
609,609,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
610,610,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
