,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
501,501,501,0,2007,MERCEDES-BENZ,GL-CLASS GL 450,21995,"152,754 miles",53650,0.409972041007
502,502,502,0,2014,MERCEDES-BENZ,GL-CLASS GL 450,21995,"67,443 miles",90580,0.242824022963
503,503,503,0,2014,MERCEDES-BENZ,GL-CLASS GL 450,12900,"78,893 miles",90580,0.14241554427
504,504,504,0,2015,MERCEDES-BENZ,M-CLASS ML 250,12900,"69,912 miles",73350,0.175869120654
505,505,505,0,2015,MERCEDES-BENZ,M-CLASS ML 350,54890,"56,543 miles",73350,0.748329925017
506,506,506,0,2013,MERCEDES-BENZ,GLK 350,54890,"25,118 miles",38000,0.55552631579
507,507,507,0,2012,MERCEDES-BENZ,GL-CLASS GL 450,8990,"77,417 miles",73435,0.122421188806
508,508,508,0,2014,MERCEDES-BENZ,GLK 350,8990,"66,234 miles",38480,0.233627858628
509,509,509,0,2012,MERCEDES-BENZ,GL-CLASS GL 450,33790,"85,682 miles",73435,0.4601348131
510,510,510,0,2012,MERCEDES-BENZ,GL-CLASS GL 450,17895,"109,229 miles",73435,0.243684891401
511,511,511,0,2017,MERCEDES-BENZ,GLS 450,17895,"5,552 miles",95550,0.187284144427
512,512,512,0,2015,MERCEDES-BENZ,M-CLASS ML 350,71986,"46,482 miles",73350,0.981404226312
513,513,513,0,2013,MERCEDES-BENZ,M-CLASS ML 350,71986,"101,069 miles",71685,0.99580107414
514,514,514,0,2011,MERCEDES-BENZ,GLK 350,35995,"95,270 miles",36500,0.986164383562
515,515,515,0,2017,MERCEDES-BENZ,GLE 350,35995,"6,489 miles",81325,0.44260682447
516,516,516,0,2007,MERCEDES-BENZ,GL-CLASS GL 450,21995,"152,754 miles",53650,0.409972041007
