,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
244,244,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
245,245,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
246,246,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
247,247,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
248,248,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
249,249,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
250,250,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
251,251,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
252,252,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
253,253,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
254,254,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
255,255,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
256,256,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
257,257,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
258,258,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
259,259,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
260,260,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
261,261,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
262,262,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
263,263,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
264,264,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
265,265,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
266,266,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
267,267,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
268,268,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
269,269,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
270,270,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
271,271,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
272,272,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
273,273,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
274,274,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
275,275,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
276,276,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
277,277,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
278,278,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
279,279,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
280,280,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
281,281,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
282,282,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
283,283,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
284,284,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
285,285,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
286,286,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
287,287,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
288,288,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
289,289,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
290,290,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
291,291,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
292,292,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
293,293,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
294,294,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
295,295,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
296,296,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
297,297,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
298,298,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
299,299,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
300,300,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
301,301,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
302,302,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
303,303,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
304,304,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
305,305,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
306,306,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
307,307,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
308,308,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
309,309,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
310,310,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
311,311,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
312,312,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
313,313,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
314,314,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
315,315,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
316,316,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
317,317,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
318,318,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
319,319,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
320,320,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
